TemplateID,Name,Level,Ability,BodyType,DfSkill,KnockDownDef,KnockFlyDef,KnockBackDef,EyeSize,ChaseSize,Property.Str,Property.Int,Property.Dex,Property.Sta,Property.Fai,Property.MaxHP,Property.MaxSP,Property.HPTick,Property.SPTick,Property.AtkDmgMin,Property.AtkDmgMax,Property.Def,Property.IceAtt,Property.FireAtt,Property.PoisonAtt,Property.ThunderAtt,Property.IceDef,Property.FireDef,Property.PoisonDef,Property.ThunderDef,Property.Pierce,Property.Hit,Property.Dodge,Property.Cri,Property.Flex,Property.CriDmg,Property.CriDmgDef,Property.BodySize,Property.AttSize,Property.AttSpeedModPer,Property.MoveSpeedModPer,Property.PiercePer,Property.HitPer,Property.DodgePer,Property.CriPer,Property.FlexPer,Property.AttSpeed,Property.MoveSpeed,Property.MaxEP,Property.MaxAP,Property.ExpPer,Property.MoneyPer,Skill1,Skill2,Skill3,Skill4,Skill5,Skill6,Skill7,Skill8,Skill9,Skill10,DropMoney,DropExp,AIID,Speed,BeatPriority,DisappearTime,HPBarNum,HPBarHeight,DropID,DeathHitPoint,DeathEffect,sSkillEffectHitPoint
100,木桶,1,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4000,0,0,0,10000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1000,1,2000,0,0,0,0
101,洞鼠,1,0,0,10001,0,0,0,10000,100000,0,0,0,0,0,27,0,0,0,2,3,330,0,0,0,0,330,330,330,330,0,160,40,30,20,300,20,0,4000,0,0,0,10000,0,0,0,1500,4000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,0,0,4000,1,1000,1,2000,101,0,0,0
102,地精监视兵,2,0,1,10002,0,0,0,7000,100000,0,0,0,0,0,87,0,0,0,6,8,810,0,0,0,0,810,810,810,810,10,183,51,40,30,326,30,0,4000,0,0,0,12000,0,0,0,1600,4000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,4000,1,1000,1,2500,101,0,0,0
103,兽人掠夺者,3,1,2,10001,0,0,0,7000,100000,0,0,0,0,0,176,0,0,0,12,15,1504,0,0,0,0,1504,1504,1504,1504,20,208,62,52,41,353,41,0,4000,0,0,0,15000,0,0,0,1800,4000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,200,0,0,4000,1,1000,1,2000,101,0,0,0
104,狂暴者佐隆,4,3,3,10003,0,0,0,7000,100000,0,0,0,0,0,709,0,0,0,32,40,3780,0,0,0,0,3780,3780,3780,3780,42,254,84,74,63,402,63,0,4000,0,0,0,20000,0,0,0,2000,4000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1000,0,0,4000,1,1000,3,2500,101,0,0,0
105,地精监视兵,2,0,1,10002,0,0,0,7000,100000,0,0,0,0,0,87,0,0,0,6,8,810,0,0,0,0,810,810,810,810,10,183,51,40,30,326,30,0,4000,0,0,0,12000,0,0,0,1600,4000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,4000,1,1000,1,2000,0,0,0,0
106,血多皮厚,100,3,0,0,0,0,0,0,0,0,0,0,0,0,1000000,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1000,1,2000,0,0,0,0
107,测试怪1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1000000,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1000,1,2000,0,0,0,0
108,测试怪2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1000000,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1000,1,2000,0,0,0,0
109,测试怪3,1,1,2,0,0,0,0,0,0,0,0,0,0,0,1000000,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1000,1,2000,0,0,0,0
110,测试怪BOSS,1,3,3,10001,0,0,0,7000,100000,0,0,0,0,0,1000000,0,0,0,300,300,2970,0,0,0,0,0,0,0,0,0,1000,0,0,0,0,0,0,4000,0,0,0,20000,0,0,0,2000,5000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5000,1,1000,3,2500,0,0,0,0
111,测试怪4,1,0,0,10001,0,0,0,7000,100000,0,0,0,0,0,1000000,0,0,0,1,2,2970,0,0,0,0,0,0,0,0,0,1000,0,0,0,0,0,0,4000,0,0,0,20000,0,0,0,2000,5000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5000,1,1000,3,2500,0,0,0,0
112,测试怪5,1,0,1,10001,0,0,0,7000,100000,0,0,0,0,0,1000000,0,0,0,1,2,2970,0,0,0,0,0,0,0,0,0,1000,0,0,0,0,0,0,4000,0,0,0,20000,0,0,0,2000,5000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5000,1,1000,3,2500,0,0,0,0
113,测试怪6,1,1,2,10001,0,0,0,7000,100000,0,0,0,0,0,1000000,0,0,0,1,2,2970,0,0,0,0,0,0,0,0,0,1000,0,0,0,0,0,0,4000,0,0,0,20000,0,0,0,2000,5000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5000,1,1000,3,2500,0,0,0,0
1001,小木桶,1,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,2,360,0,0,0,0,360,360,360,360,0,163,40,30,20,306,20,0,4000,0,0,0,10000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,0,0,0,1,1000,1,2000,0,0,0,0
1002,大木桶,1,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,2,360,0,0,0,0,360,360,360,360,0,163,40,30,20,306,20,0,4000,0,0,0,10000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,0,0,0,1,1000,1,2000,0,0,0,0
1003,蜘蛛蛋,1,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,2,360,0,0,0,0,360,360,360,360,0,163,40,30,20,306,20,0,4000,0,0,0,10000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,0,0,0,1,1000,1,2000,0,0,0,0
100101,乌鸦,1,0,0,1026,0,0,0,5000,100000,0,0,0,0,0,17,0,0,0,1,3,330,0,0,0,0,330,330,330,330,0,160,40,30,20,300,20,0,4000,0,0,0,10000,0,0,0,1500,4000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,4000,1,1000,1,2000,0,0,0,0
100102,洞鼠,1,0,0,1005,0,0,0,5000,100000,0,0,0,0,0,17,0,0,0,1,3,330,0,0,0,0,330,330,330,330,0,160,40,30,20,300,20,0,4000,0,0,0,10000,0,0,0,1500,4000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,4000,1,1000,1,2000,0,0,0,0
100111,地精小偷,1,0,1,1001,0,0,0,3000,100000,0,0,0,0,0,78,0,0,0,2,3,742,0,0,0,0,742,742,742,742,10,180,50,40,30,320,30,0,4000,0,0,0,12000,0,0,0,1600,4000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,4000,1,1000,1,2000,0,0,0,0
100131,兽人掠夺者,1,3,3,1002,0,0,0,5000,100000,0,0,0,0,0,821,0,0,0,4,5,2970,0,0,0,0,2970,2970,2970,2970,40,240,80,70,60,380,60,0,4000,0,0,0,20000,0,0,0,2000,4000,0,0,0,0,3001,0,0,0,0,0,0,0,0,0,176,0,10001,4000,1,1000,3,2500,1001,0,0,0
100201,洞鼠,2,0,0,1005,0,0,0,5000,100000,0,0,0,0,0,13,0,0,0,1,3,360,0,0,0,0,360,360,360,360,0,163,40,30,20,306,20,0,4000,0,0,0,10000,0,0,0,1500,4000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,4000,1,1000,1,2000,0,0,0,0
100211,地精小偷,2,0,1,1001,0,0,0,3000,100000,0,0,0,0,0,64,0,0,0,3,4,810,0,0,0,0,810,810,810,810,10,183,51,40,30,326,30,0,4000,0,0,0,12000,0,0,0,1600,4000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,4000,1,1000,1,2000,0,0,0,0
100221,简易帐篷,2,0,2,1003,0,0,0,7000,100000,0,0,0,0,0,138,0,0,0,4,6,1388,0,0,0,0,1388,1388,1388,1388,20,204,61,51,40,346,40,0,4000,0,0,0,15000,0,0,0,1800,4000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,4000,1,1000,1,2500,0,0,0,0
100222,兽人掠夺者,2,1,2,1002,0,0,0,3000,100000,0,0,0,0,0,138,0,0,0,4,6,1388,0,0,0,0,1388,1388,1388,1388,20,204,61,51,40,346,40,0,4000,0,0,0,15000,0,0,0,1800,4000,0,0,0,0,3001,0,0,0,0,0,0,0,0,0,1,0,10002,4000,1,1000,1,2500,0,0,0,0
